Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NR_046235,4744211,2370678,5413923,3273295,5664908,2958360,4459514,1871659,3647470,2088600,2242865,2730381,5415208,2818606,5963090,4586453
NR_135481,16,6,13,40,0,0,0,0,0,0,0,1,0,0,0,4
NM_012227,591,311,664,1943,701,396,515,938,653,334,362,3906,884,465,813,1739
NM_000451,5,1,2,24,6,4,4,7,1,1,0,39,1,0,2,13
NM_001161531,31,10,43,150,26,13,20,39,16,11,13,160,26,15,30,68
NM_001267713,1713,843,1827,4011,2383,1236,1643,3490,1268,711,736,5096,2302,1220,2189,6691
NR_026711,965,475,994,2904,950,504,704,1510,672,383,384,3869,1331,645,1141,2612
NM_001173473,2780,1385,3126,6706,2986,1506,2173,3723,2169,1246,1298,9885,3853,1965,3644,7655
NM_178129,8321,4176,9107,16787,6587,3418,4971,6629,7673,4465,4501,32341,12730,6597,12048,16226
NR_027383,627,313,655,1387,611,341,454,618,641,357,343,2290,1040,549,988,1816
NM_004043,805,396,834,1893,759,414,497,747,852,497,476,3458,1119,600,1043,1981
NM_004729,785,390,890,1743,744,365,533,913,785,462,465,2787,1114,596,1032,1501
NR_033381,229,120,261,539,252,132,212,336,328,206,183,1362,451,240,392,711
NM_001321367,580,299,648,1170,939,479,660,1172,654,393,343,2026,939,498,910,1844
NM_001141920,31,17,29,88,23,15,19,46,18,6,13,117,30,11,38,72
NR_003254,12,7,15,22,14,10,9,19,3,2,2,27,14,6,12,32
NM_003918,11,5,18,40,11,6,10,19,14,6,13,83,15,8,9,34
NM_001079855,11,5,18,40,11,6,10,19,14,6,13,83,15,8,9,34
NM_001669,10,8,11,39,32,17,24,50,17,10,13,79,36,19,35,35
NM_000047,5,4,9,46,5,3,10,21,14,8,17,50,16,8,15,44
NM_001282631,7,5,13,46,5,3,10,27,14,8,17,52,18,9,16,41
NM_001011719,8,5,14,37,14,9,12,11,4,2,1,49,14,8,7,26
NM_001201538,29,15,33,132,34,14,31,48,33,23,23,169,38,17,47,129
NM_001201539,29,15,33,127,33,14,30,47,33,23,23,169,37,17,47,122
NR_038428,2,1,5,5,3,2,2,8,1,1,2,6,1,1,2,1
NM_015419,4,3,2,16,4,3,4,4,1,1,3,28,5,2,4,20
NM_005044,1178,606,1302,2459,1755,912,1289,2202,1337,773,799,5924,1472,781,1455,2621
NR_046643,92,40,117,170,150,80,103,154,109,60,62,453,139,78,120,207
NR_034031,1115,583,1295,2497,1726,910,1323,2036,650,372,371,3048,1470,771,1460,2922
NR_146581,1360,690,1541,2830,1682,867,1229,2035,401,223,239,2132,1763,901,1683,3472
NR_146579,1470,742,1668,3037,1833,951,1331,2209,396,216,230,2141,2007,1015,1960,3825
NR_110390,0,0,2,10,3,2,2,2,0,0,0,28,2,1,4,3
NM_020742,249,115,238,403,35,19,19,60,51,30,26,271,86,47,69,147
NM_001282145,249,115,239,404,35,19,19,60,51,30,26,271,86,47,69,147
NR_136577,6,3,10,9,0,0,0,0,0,0,0,0,3,0,0,1
NM_001178136,1352,682,1404,3069,2564,1327,1860,3234,1338,772,846,5599,1885,1000,1808,3233
NM_001320750,1848,911,1985,3757,2311,1247,1676,3042,1991,1143,1147,5939,1871,971,1861,5184
NM_001320751,1826,898,1967,3697,2275,1230,1646,2991,1979,1139,1138,5864,1839,956,1827,5052
NM_004650,92,45,118,272,193,108,127,224,116,69,66,398,131,65,106,180
NM_001172672,99,48,120,282,199,114,130,230,112,66,63,419,134,67,106,177
NM_000216,57,28,91,273,31,14,18,81,68,44,33,350,68,31,92,185
NM_174951,4,3,3,4,0,0,0,1,7,3,2,0,8,6,5,4
NM_205849,0,0,0,13,0,0,0,2,2,1,1,6,0,0,0,5
NM_001139468,1080,553,1128,1772,1141,604,866,549,974,544,592,2009,1810,922,1663,2131
NM_000273,41,24,48,133,37,20,35,39,32,15,26,123,50,27,50,83
NM_001649,71,31,60,194,48,24,54,98,60,40,39,338,42,28,49,194
NM_015691,1576,784,1732,3993,1144,606,890,1539,1642,929,869,7298,1393,724,1373,3807
NM_001256944,72,38,106,330,56,32,51,41,181,101,77,883,84,50,69,612
NM_033290,219,98,244,649,226,107,176,243,254,141,138,1066,291,150,287,529
NM_000381,44,21,56,213,36,15,30,83,61,37,40,296,67,32,78,165
NM_001193278,17,8,15,96,13,6,7,38,13,8,12,101,28,15,30,56
NM_001122608,186,98,214,345,120,56,86,113,134,67,66,577,193,106,216,307
NR_109776,9620,4686,10799,12540,2559,1341,1943,2354,2695,1511,1578,4774,11655,6011,11293,5655
NM_001142,79,44,84,99,21,8,7,16,20,12,14,20,108,55,104,61
NM_078628,432,228,472,746,314,159,238,324,430,254,230,1691,936,525,870,795
NM_078629,660,349,717,1237,544,275,402,610,663,380,376,2676,1425,788,1349,1327
NM_001368395,189,91,201,711,214,95,174,229,169,100,78,906,253,124,279,469
NM_014728,82,31,95,400,133,58,100,167,97,61,44,462,124,66,141,289
NM_002765,350,178,361,642,320,165,267,366,466,287,234,1626,499,258,418,937
NM_016562,1132,592,1182,2840,1394,743,1024,1481,1101,623,614,3294,1715,885,1613,2884
NR_030727,26,16,22,85,16,6,11,33,22,9,9,96,36,20,27,64
NM_016610,9,5,5,27,0,0,3,5,8,5,3,29,6,5,3,21
NM_174901,9,6,12,28,12,9,9,19,11,8,6,31,7,5,7,44
NR_146309,245,117,265,786,182,99,136,330,363,207,227,1531,143,72,134,766
NR_046087,25,13,43,68,4,1,4,36,48,24,25,57,8,6,13,74
NR_045260,6,5,12,38,13,6,9,19,18,10,13,41,7,5,7,35
NM_001167890,14,10,12,50,19,10,19,34,24,8,15,67,25,17,20,78
NM_152634,126,70,149,293,170,95,124,352,167,113,100,796,178,85,168,478
NM_001195328,959,508,1068,1877,1108,604,839,1419,1007,585,524,4133,1336,730,1318,2123
NM_004251,1039,554,1170,2139,1213,658,915,1577,1095,637,582,4553,1479,816,1444,2365
NM_014563,527,302,579,1350,675,341,541,970,554,305,330,2274,788,422,756,1533
NM_001011658,527,302,579,1350,674,341,540,968,554,305,330,2272,787,421,754,1533
NM_001330210,852,443,961,2082,867,481,663,1049,861,477,516,4153,1433,733,1266,1761
NM_003611,849,441,960,2081,867,481,663,1048,861,477,516,4153,1433,733,1266,1758
NM_001318729,401,189,443,1061,504,261,413,563,409,234,230,1516,586,318,556,1129
NM_001001994,401,189,443,1061,503,261,413,563,408,234,229,1516,586,318,556,1129
NM_001042479,339,187,368,716,413,216,277,378,293,178,166,1080,573,313,553,732
NM_001118885,124,62,148,310,94,41,83,157,163,93,110,488,172,86,154,241
NM_001018113,212,121,192,358,207,108,150,243,290,154,137,924,174,95,176,340
NM_001330241,324,158,362,780,307,169,210,428,315,185,205,1547,420,242,452,632
NM_001177475,212,102,245,515,180,99,123,284,173,110,129,997,224,133,272,407
NM_001168531,10,5,9,42,8,7,5,11,10,3,8,68,13,6,6,35
NM_080873,20,11,21,83,22,11,13,42,16,11,11,131,11,5,24,60
NM_020473,266,147,273,714,210,119,172,257,224,129,126,1137,348,157,331,552
NR_037859,325,161,337,1050,91,60,54,203,101,56,60,592,251,135,205,339
NM_004469,79,44,64,218,15,6,14,39,16,12,10,177,54,32,42,67
NM_003662,251,120,282,884,87,61,44,183,92,48,56,503,202,106,170,303
NM_001320866,35,21,52,45,30,18,39,29,51,30,32,103,62,36,52,64
NM_021804,7,4,6,23,14,10,9,5,2,1,0,18,3,1,5,27
NR_126564,3,2,4,29,12,8,3,8,3,1,0,10,4,1,10,13
NM_020665,22,8,23,62,24,10,30,49,11,8,6,73,41,22,36,66
NR_160541,304,152,307,587,449,218,327,417,314,182,163,1055,424,228,403,600
NR_160545,709,339,705,1391,953,480,728,1027,679,388,373,2584,942,490,895,1485
NM_005089,487,243,529,1093,874,454,586,827,478,291,327,1689,678,366,711,1006
NM_003916,600,301,705,1305,696,362,499,862,661,356,407,2309,700,380,662,1049
NM_005314,15,8,15,19,22,14,22,13,11,8,3,24,6,3,10,21
NM_001277307,6,2,2,7,6,6,1,2,8,4,5,11,0,0,0,6
NM_019857,1077,534,1205,2717,933,496,724,715,1079,617,653,4500,902,493,920,2036
NM_004057,15,9,26,67,24,12,15,28,25,13,14,95,26,16,28,35
NR_033181,570,295,629,1190,589,318,438,631,556,313,378,2223,695,376,714,1157
NM_001168683,972,490,1039,2009,1141,602,902,1342,876,487,506,4071,1046,554,1062,1935
NM_002893,625,308,652,1103,674,350,474,631,661,367,374,2272,755,388,704,1173
NM_001080975,78,41,107,373,119,62,89,125,81,44,47,466,135,57,144,248
NM_001291867,38,18,55,244,67,27,75,113,31,12,28,215,88,46,78,134
NR_135631,10,2,22,76,22,7,27,55,14,6,8,78,35,17,28,46
NR_046632,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4
NM_001037535,23,10,28,19,7,3,9,11,3,2,4,37,32,14,17,15
NM_006746,23,10,28,19,7,3,9,11,3,2,4,37,32,14,17,15
NM_001172732,6,5,4,32,13,6,9,6,11,7,6,22,13,7,12,23
NR_133641,27,18,31,84,27,14,25,46,16,5,9,89,58,31,48,67
NM_153346,6,3,28,43,21,15,18,20,10,5,1,88,15,8,20,66
NM_001184767,5,2,28,41,20,14,16,16,10,5,1,81,11,5,17,59
NM_006089,31,19,52,136,55,32,44,65,54,32,23,242,26,14,29,122
NM_003159,1206,596,1338,2519,2259,1215,1708,2360,1662,1003,977,7202,1746,956,1671,4490
NM_001323289,1169,574,1311,2451,2171,1178,1636,2284,1636,989,946,7100,1720,946,1638,4407
NM_000330,78,36,68,132,145,65,123,140,63,35,58,263,69,31,70,192
NR_046642,2,0,2,11,13,8,3,11,3,3,5,25,10,6,9,7
NM_006240,70,29,65,266,124,62,76,128,82,54,47,517,133,67,127,299
NR_029379,42,21,53,152,80,39,59,80,63,37,38,284,84,40,88,248
NM_000292,587,313,632,1297,680,361,517,840,594,339,358,2567,800,383,772,1611
NM_001184833,82,38,103,220,140,72,87,125,98,50,52,339,136,70,128,275
NM_001173456,363,187,348,615,457,241,343,338,368,191,200,1297,590,314,498,654
NM_000284,365,187,349,615,457,241,343,338,368,191,200,1297,592,316,501,654
NM_001001671,293,144,260,685,289,155,240,432,236,131,121,969,356,178,325,662
NM_001353893,11633,5875,13209,26240,13188,6893,9850,14085,12511,7149,7273,43030,15952,8195,15436,25278
NM_031892,13715,6921,15423,31676,15700,8194,11711,17146,14946,8560,8682,54266,19205,9837,18406,30910
NM_198279,401,216,476,824,497,254,379,448,406,232,207,1109,557,293,533,785
NM_001168465,52,30,79,268,62,29,53,70,66,40,50,232,69,35,64,149
NM_001412,422,207,441,1028,786,399,626,847,519,302,312,1933,657,333,701,843
NM_004586,2173,1103,2427,4933,2234,1154,1643,2427,2214,1259,1298,8313,3169,1681,3149,4102
NM_001330771,450,229,532,773,149,77,115,85,321,180,160,774,544,309,514,314
NM_153270,9,3,5,19,0,0,0,0,25,15,14,172,4,3,10,1
NR_045617,1,1,0,19,4,2,0,3,14,10,5,46,3,2,0,10
NM_015884,499,250,517,1023,408,219,349,518,485,295,296,1872,611,344,530,991
NM_001258423,745,398,848,1425,949,485,641,917,791,461,432,2844,996,552,988,1810
NM_001282754,164,86,151,419,96,39,85,166,192,94,106,625,258,136,261,646
NR_046639,2,1,1,9,1,0,0,5,4,2,3,2,0,0,0,15
NR_073010,386,216,431,1270,336,171,284,415,396,253,221,1628,508,258,522,876
NM_182699,0,0,0,0,11,7,4,2,0,0,0,0,0,0,0,0
NM_173495,15,5,13,51,16,7,12,21,163,87,25,57,27,15,21,34
NM_006406,206,108,240,462,154,76,148,200,284,162,175,987,351,188,336,376
NM_001330259,521,273,580,1092,411,217,330,462,386,209,202,1525,801,409,745,883
NR_027783,433,214,448,874,399,227,255,348,265,158,180,1178,575,285,586,803
NM_024122,674,309,773,939,706,378,538,452,623,344,398,1357,735,402,778,941
NM_152761,67,29,75,183,40,23,33,77,47,28,37,344,92,48,80,138
NM_030624,654,340,682,1430,652,356,497,666,745,442,408,2758,753,378,786,1270
NM_001415,1450,726,1568,2124,1826,955,1419,1688,1334,792,779,3825,1577,838,1477,1962
NR_046657,61,37,92,150,75,47,67,135,56,38,35,354,92,54,101,148
NM_001330327,1578,780,1812,3284,2419,1295,1703,2673,1560,950,924,5584,2211,1213,2086,3262
NM_001136233,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_001136234,0,0,2,1,0,0,0,0,1,1,1,0,3,1,1,0
NM_005391,866,441,923,2380,1073,591,765,1009,1044,593,612,4814,1949,1018,1799,2127
NM_001142386,1288,654,1340,3448,1537,827,1046,1476,1504,852,906,6699,2604,1393,2501,3114
NM_001163264,30,12,42,187,67,32,45,84,33,16,20,416,59,31,40,175
NR_046638,2,0,1,9,5,1,3,6,3,1,2,38,5,3,9,21
NM_001330360,2812,1415,3071,4760,3418,1855,2451,3119,3168,1841,1905,9058,3685,1985,3501,5240
NM_139058,5,1,5,11,12,6,13,12,7,4,4,39,5,2,4,26
NM_173523,0,0,0,2,6,3,3,2,0,0,0,4,0,0,0,0
NM_207319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_148432,8,4,12,35,10,6,14,19,9,6,1,58,17,9,19,43
NM_182506,2,1,2,14,4,3,3,0,0,0,2,6,1,1,5,13
NM_001017930,2,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0
NM_014271,591,314,667,1882,598,346,428,829,614,363,346,2599,730,350,695,1383
NM_002364,0,0,3,2,2,2,3,0,0,0,0,5,3,2,1,5
NM_002365,0,0,0,11,0,0,0,1,1,1,0,2,0,0,0,2
NM_177415,2,2,1,20,1,0,2,14,0,0,0,5,8,3,10,24
NM_000475,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NM_025159,557,256,546,1280,411,206,337,828,457,255,256,2218,586,307,605,1094
NM_203391,553,275,595,1277,498,273,346,568,537,316,277,2474,829,442,804,1067
NM_152787,544,271,580,1083,499,253,397,517,534,314,289,1992,678,336,652,938
NR_145449,41,17,47,114,33,13,32,38,53,34,26,170,86,50,76,99
NM_000109,1494,741,1780,4055,1604,812,1164,1441,827,458,438,3029,1221,644,1267,1997
NM_004006,1475,726,1764,3986,1591,804,1151,1421,812,448,431,2926,1202,633,1245,1959
NM_004019,623,307,717,1419,633,305,459,524,274,162,157,787,394,217,387,551
NM_031442,3,1,2,11,2,1,3,6,3,3,0,13,3,1,2,11
NM_001370158,1,1,2,1,0,0,0,0,0,0,0,10,0,0,0,2
NM_152632,17,6,19,44,22,9,11,16,6,5,7,58,10,7,11,44
NR_110412,63,25,78,111,28,12,28,33,34,15,25,108,41,21,48,87
NM_001013736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001173489,16,5,17,69,22,7,17,24,14,8,9,111,30,19,22,43
NM_001173486,13,5,17,65,20,6,15,21,14,8,9,108,27,16,20,39
NM_001170331,43,21,34,121,42,16,21,51,36,18,18,191,44,27,49,105
NM_021083,16,8,15,55,15,6,12,19,8,4,6,75,38,14,32,47
NM_000397,1173,603,1296,1930,1024,556,783,1562,858,506,474,2568,1380,721,1323,2084
NM_006520,40,19,27,118,35,19,28,61,23,13,17,314,56,30,42,73
NM_138780,35,16,28,92,10,6,10,17,10,8,13,82,10,5,11,38
NM_001163334,29,14,27,81,9,6,8,16,7,5,7,70,6,3,10,33
NM_001170750,22,7,30,99,7,5,5,10,8,4,2,59,28,15,32,50
NM_006307,22,7,30,97,7,5,5,10,8,4,2,59,28,15,32,50
NR_159803,484,239,554,745,343,175,279,367,365,197,208,898,472,233,465,586
NM_000531,9,5,10,54,15,10,16,22,3,3,3,134,13,10,13,70
NM_004615,18,11,24,88,99,53,69,66,20,11,13,136,50,22,62,111
NM_001098791,183,84,229,585,229,119,193,257,223,124,118,1101,369,201,389,711
NR_038968,1,1,3,17,0,0,0,5,3,1,1,13,6,4,7,11
NR_110385,0,0,0,7,0,0,0,6,1,1,0,8,0,0,0,11
NM_001123383,1410,691,1411,3225,1653,851,1261,2293,1392,807,808,6248,1700,854,1659,4330
NM_001123384,1407,689,1409,3219,1651,849,1260,2291,1387,802,804,6217,1692,851,1650,4325
NR_110386,20,10,16,38,32,18,20,35,3,2,13,63,10,4,11,92
NM_005765,333,165,356,589,326,182,251,319,363,235,178,1033,418,219,409,451
NM_001330455,560,289,568,1270,776,388,605,856,515,294,317,2378,963,537,886,1381
NM_004229,1113,539,1228,2281,1490,768,1079,1396,1117,656,669,3650,1689,878,1467,2039
NM_001289773,30,19,25,106,43,22,42,93,22,12,16,179,64,32,60,131
NM_001039590,4138,2070,4515,9269,4608,2448,3424,5179,4296,2416,2477,18767,6231,3317,5981,7264
NM_001356,1669,824,1779,3892,3456,1814,2480,3188,1815,1020,1131,7980,2297,1203,2144,3370
NR_126094,378,185,363,924,743,394,524,1063,417,241,233,1963,472,250,454,1077
NM_022567,29,13,36,114,21,12,10,34,32,22,16,155,26,13,35,72
NM_001367721,1936,959,2039,3089,1423,714,1123,1084,943,553,579,2694,2334,1221,2298,2089
NM_005300,41,21,43,84,39,24,19,23,23,13,16,69,50,22,46,50
NM_080817,20,9,34,62,25,14,21,25,25,12,7,87,37,23,29,47
NR_110387,18,12,20,48,28,10,29,73,17,13,12,93,31,16,29,78
NM_001270458,28,10,26,76,30,20,23,34,36,19,23,79,37,19,33,51
NM_000898,8,4,7,67,18,12,22,16,10,4,4,68,8,3,19,50
NM_000266,0,0,0,11,0,0,0,0,0,0,0,10,1,1,1,0
NR_046631,0,0,0,11,0,0,0,0,0,0,0,10,1,1,1,0
NM_025184,78,38,63,261,72,34,41,101,72,36,47,298,71,39,70,146
NM_173794,93,40,121,228,193,106,130,201,131,88,69,499,142,73,136,225
NM_001291417,3516,1796,3863,7018,6729,3600,5037,6700,3731,2191,2100,12590,5056,2667,4779,5818
NM_176819,4,0,4,56,14,10,7,17,21,11,7,49,11,6,16,24
NR_104645,7,2,5,23,4,2,0,2,3,3,0,10,1,1,2,15
NR_125365,1,0,3,3,0,0,1,1,2,2,0,8,0,0,2,2
NM_001129899,318,156,368,783,329,174,251,424,385,241,223,1362,430,225,439,710
NM_001039891,360,181,437,971,394,215,314,475,362,232,248,1485,516,274,537,726
NM_019886,555,268,603,1153,797,412,644,948,628,341,333,1894,676,347,741,1080
NM_001257291,4635,2350,5035,10076,6046,3188,4463,6731,5031,2860,2985,17243,6901,3545,6524,9310
NM_006915,205,109,263,471,222,113,146,286,241,131,117,979,311,167,309,410
NR_046101,48,31,44,80,60,34,47,88,40,26,28,152,109,67,92,153
NM_001077445,357,175,377,530,260,148,180,229,142,74,84,515,705,355,666,803
NM_001282849,12,7,14,26,4,1,2,15,4,2,3,26,8,3,12,14
NM_152869,12,7,14,26,4,1,2,15,4,2,3,26,8,3,12,14
NM_001204468,1003,511,1038,2031,1067,556,793,1292,847,479,484,3142,1340,704,1353,2254
NM_152856,1003,511,1038,2029,1067,556,793,1292,847,479,484,3142,1340,704,1353,2254
NM_153280,790,412,836,1680,1095,545,802,1316,936,522,580,2976,1343,703,1184,2062
NM_033018,419,220,468,858,569,309,432,621,403,231,264,1517,564,283,621,986
NM_001371072,425,209,463,846,441,225,281,439,431,248,248,1587,478,240,431,846
NM_003446,69,37,68,139,34,18,24,73,26,17,20,229,58,28,69,136
NM_001324153,580,257,647,1238,600,315,419,702,564,318,341,1872,878,465,885,1238
NM_001256197,115,64,164,265,147,76,115,169,126,66,72,579,186,102,181,296
NM_001654,310,150,400,822,479,244,357,443,284,148,169,1293,441,240,443,776
NM_133499,612,305,624,1450,805,428,634,1031,504,293,278,2297,873,451,896,1738
NM_003254,64,32,78,174,155,90,119,164,55,29,20,358,134,62,138,231
NM_001145252,176,73,203,339,375,193,288,426,163,95,95,543,385,192,368,499
NM_002621,171,72,183,316,347,173,278,385,139,79,84,542,342,172,324,425
NM_001114123,461,228,459,1117,609,306,449,678,477,275,263,1976,829,410,805,1284
NR_045559,249,126,294,412,260,135,159,267,248,128,153,1087,348,191,342,434
NR_033924,15,8,18,69,20,11,20,31,9,7,0,124,15,7,12,48
NM_007137,621,328,678,1654,833,440,576,948,613,361,336,2246,751,396,725,1161
NM_006962,436,233,436,1126,396,214,275,491,456,255,243,1858,579,306,508,885
NR_046742,43,20,41,141,58,31,26,33,35,23,27,161,67,33,73,87
NM_001190255,64,27,83,237,75,46,45,78,77,43,45,329,148,78,139,186
NR_028366,11,6,14,36,3,2,4,17,8,2,4,52,17,8,15,51
NM_205856,49,24,56,104,47,29,33,13,39,26,18,161,70,35,58,43
NM_021015,4,2,1,14,4,2,1,8,0,0,0,10,2,2,2,0
NM_001278691,0,0,7,15,3,2,1,4,0,0,1,6,3,1,1,12
NR_073393,0,0,0,1,1,1,0,0,0,0,0,3,1,1,0,2
NM_021014,0,0,1,12,1,1,0,2,0,0,0,7,0,0,0,2
NM_001040612,4,3,4,14,2,2,0,3,0,0,0,6,4,3,1,11
NM_005636,4,3,4,14,2,2,0,3,0,0,0,6,4,3,1,11
NM_033518,280,150,311,560,327,166,220,298,229,139,143,805,346,187,304,548
NM_001282157,229,107,216,346,206,111,146,179,223,130,126,773,281,147,294,371
NM_012280,229,107,216,345,206,111,146,179,223,130,126,771,281,147,294,371
NM_022825,90,44,114,202,115,64,76,130,74,41,50,303,99,55,121,228
NM_203474,78,38,96,179,102,57,70,114,68,36,44,264,83,46,98,189
NM_006579,78,47,104,275,179,78,126,130,114,64,68,446,138,63,136,269
NM_001348264,389,189,381,1065,423,232,313,552,533,323,283,2041,576,292,555,1059
NM_006743,898,452,1011,1733,1047,569,794,1169,956,577,559,3085,1022,565,970,2027
NM_001347219,270,130,281,549,235,127,165,301,221,113,110,823,337,186,306,674
NM_000377,226,112,260,573,320,167,206,274,242,141,118,1057,313,175,317,613
NM_001282166,185,101,197,446,257,129,203,281,190,110,120,844,312,179,344,823
NM_001080489,8,4,5,37,26,11,18,16,9,7,6,56,30,12,17,57
NM_002049,45,28,53,118,67,34,44,100,34,23,21,125,99,52,75,165
NM_001321225,305,155,325,664,309,154,236,395,313,204,163,1181,523,270,498,782
NM_001321229,304,155,325,652,302,151,227,391,313,204,163,1152,514,265,492,765
NM_001321231,104,54,112,194,113,54,84,130,126,88,55,505,209,111,221,320
NM_181532,14,9,28,41,11,5,9,15,17,12,7,34,26,15,24,61
NM_013271,2,0,6,3,0,0,0,0,2,2,0,10,0,0,0,0
NM_001167947,108,55,87,207,135,73,103,124,135,77,73,325,143,80,142,191
NM_001032383,166,75,183,353,184,101,146,160,198,107,118,603,313,163,282,397
NM_005660,2761,1321,3097,5806,3413,1781,2597,3511,2473,1374,1547,9801,4234,2212,4308,8070
NM_001282648,3130,1517,3498,6856,3858,1998,2924,4145,2933,1636,1806,12110,5061,2636,5144,9738
NM_006875,1284,652,1463,2578,1371,683,969,1187,1438,819,816,6875,2343,1205,2293,3690
NM_001136159,1440,703,1664,3034,1740,908,1151,1677,1398,803,764,5725,2152,1135,2020,3465
NM_004979,154,74,102,352,194,105,129,240,101,57,43,459,208,123,213,469
NM_020137,1091,552,1213,1860,1158,594,871,1023,928,512,582,2547,1544,818,1469,1830
NM_001282142,341,172,323,894,390,212,318,468,275,151,199,1260,591,286,568,965
NM_001271836,190,102,199,542,222,116,148,254,149,84,74,667,199,105,225,559
NM_001163322,153,83,156,420,166,89,114,215,117,66,58,535,158,83,188,462
NM_007075,220,104,253,752,269,135,236,403,251,130,140,1298,325,181,339,827
NM_001029896,110,56,134,470,151,72,134,197,149,74,71,861,164,95,172,492
NM_015698,172,83,170,417,215,105,160,207,139,70,64,650,214,109,244,422
NM_001099682,74,38,73,185,71,39,46,118,65,39,50,438,89,55,100,259
NM_002668,263,130,291,632,296,140,199,459,204,119,128,1025,256,123,296,808
NM_006150,315,153,320,850,407,209,286,434,364,210,181,1389,473,219,508,1074
NM_003179,56,31,63,233,68,37,38,134,68,37,26,272,109,52,96,247
NR_046649,23,14,25,52,35,16,30,42,30,14,15,92,69,39,53,59
NM_001256789,68,33,87,213,71,32,28,83,75,43,45,281,99,60,96,205
NM_014008,151,66,132,406,141,89,109,226,126,70,67,606,273,126,234,338
NM_014009,323,155,358,903,392,213,267,477,287,155,166,1087,501,266,450,1083
NM_001114377,323,155,358,901,392,213,267,477,287,155,166,1087,501,266,450,1082
NM_033215,552,270,617,1493,535,274,401,749,668,387,365,2601,709,357,677,1590
NM_001098413,13,8,11,32,43,27,29,34,18,13,7,56,29,14,26,49
NM_001098406,3,2,2,2,0,0,0,0,0,0,0,5,0,0,2,5
NM_001098409,4,3,6,10,2,2,0,1,0,0,1,10,2,1,6,13
NM_001098407,1,1,3,4,0,0,0,0,0,0,0,5,1,1,1,2
NM_001127200,1,1,3,4,0,0,0,0,0,0,0,5,1,1,1,2
NM_001098405,3,2,2,5,0,0,0,2,0,0,1,0,1,1,2,3
NM_001474,3,2,2,5,0,0,0,2,0,0,1,0,1,1,2,3
NM_001127345,3,2,2,5,0,0,0,2,0,0,1,0,1,1,2,3
NM_001127199,0,0,2,2,0,0,0,1,0,0,1,0,1,1,2,2
NM_001098410,0,0,2,2,0,0,0,1,0,0,1,0,1,1,2,2
NM_001127212,0,0,1,4,0,0,0,1,0,0,0,4,0,0,1,2
NM_001098411,0,0,1,4,0,0,0,1,0,0,0,4,0,0,1,2
NR_102272,2,1,2,5,0,0,1,0,0,0,1,9,2,1,4,7
NM_003785,1,0,0,4,0,0,0,0,0,0,1,0,16,11,44,2
NM_001318877,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2
NM_001145073,17,10,16,43,17,6,19,26,21,13,8,74,34,21,25,72
NM_001272102,235,114,242,526,277,151,233,271,122,73,87,530,307,167,321,412
NM_001282163,68,37,58,113,110,53,71,90,46,27,21,118,93,51,107,66
NM_003886,0,0,1,1,2,2,2,0,0,0,1,3,0,0,0,1
NM_033031,38,16,56,145,68,33,42,47,49,27,22,141,61,33,64,112
NM_001013742,7,5,5,52,3,2,7,4,7,5,3,34,6,3,8,17
NM_020717,37,22,37,183,47,22,22,53,18,8,9,173,55,27,68,98
NM_005448,0,0,0,9,0,0,0,0,0,0,1,4,0,0,0,1
NR_110382,28,16,37,111,36,20,24,48,51,29,37,173,45,27,34,95
NM_153183,0,0,3,1,5,4,4,1,2,2,1,36,0,0,0,0
NM_018159,2,1,1,1,0,0,0,0,8,5,2,25,0,0,0,0
NR_110654,0,0,0,2,3,1,1,2,2,1,0,22,0,0,0,4
NM_001005332,1433,719,1555,2484,1201,607,826,1229,1358,774,785,3931,1788,955,1801,2156
NM_030801,2,1,5,1,2,1,1,0,1,0,2,3,6,3,2,6
NM_130777,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,8
NM_001097604,1,1,0,5,0,0,0,0,1,0,0,0,0,0,1,1
NR_027250,2,1,1,6,0,0,0,1,0,0,2,0,1,1,2,2
NM_173358,1,1,1,2,6,2,1,2,0,0,0,5,2,1,0,3
NM_003147,2,1,3,5,0,0,0,1,0,0,0,0,1,1,0,2
NM_001278697,2,1,3,5,1,0,0,1,0,0,0,9,0,0,0,2
NM_130775,1,1,0,4,0,0,0,1,0,0,0,5,0,0,0,3
NM_133179,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001321186,417,192,449,816,532,259,418,532,398,227,237,1498,620,329,617,1019
NM_014138,553,254,595,1144,719,363,540,710,543,309,296,2100,866,457,805,1363
NM_018969,35,12,48,78,28,21,18,34,20,13,11,108,31,21,32,53
NM_022117,396,193,405,827,419,214,283,300,464,249,260,1781,471,253,493,753
NR_145980,215,124,242,533,220,111,164,241,225,132,128,900,311,179,325,445
